question_id,question_title,schema_variant_count,proposed_form_count,accepted_form_count,published_form_count
question:budget:budgetyear-otherdirectcosts-otherdirectcost6-cost,Additional Other Direct Cost Funds Requested,1,4,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost6-description,Additional Other Direct Cost Description,1,4,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost7-cost,Additional Other Direct Cost Funds Requested,1,4,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost7-description,Additional Other Direct Cost Description,1,4,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost8-cost,Additional Other Direct Cost Funds Requested,1,4,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost8-description,Additional Other Direct Cost Description,1,4,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost9-cost,Additional Other Direct Cost Funds Requested,1,4,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost9-description,Additional Other Direct Cost Description,1,4,0,0
question:budget:budgetyear-otherdirectcosts-publicationcosts,2. Publication Costs,1,4,0,0
question:budget:budgetyear-otherdirectcosts-subawardconsortiumcontractualcosts,5. Subawards/Consortium/Contractual Costs,1,4,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-academicmonths,Academic Months Graduate Students,1,4,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-calendarmonths,Calendar Months Graduate Students,1,4,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-fringebenefits,Fringe Benefits Graduate Students,1,4,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-numberofpersonnel,Number of Personnel Graduate Students | NumberOfPersonnel,2,4,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-projectrole,Project Role Graduate Students,1,4,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-requestedsalary,Requested Salary Graduate Students,1,4,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-summermonths,Summer Months Graduate Students,1,4,0,0
question:budget:budgetyear-otherpersonnel-other-academicmonths,Academic Months Additional Project Role,1,4,0,0
question:budget:budgetyear-otherpersonnel-other-calendarmonths,Calendar Months Additional Project Role,1,4,0,0
question:budget:budgetyear-otherpersonnel-other-fringebenefits,Fringe Benefits Additional Project Role,1,4,0,0
question:budget:budgetyear-otherpersonnel-other-numberofpersonnel,Number of Personnel Additional Project Role | NumberOfPersonnel,2,4,0,0
question:budget:budgetyear-otherpersonnel-other-projectrole,Additional Project Role Description,1,4,0,0
question:budget:budgetyear-otherpersonnel-other-requestedsalary,Requested Salary Additional Project Role,1,4,0,0
question:budget:budgetyear-otherpersonnel-other-summermonths,Summer Months Additional Project Role,1,4,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-academicmonths,Academic Months Post Doctoral Associates,1,4,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-calendarmonths,Calendar Months Post Doctoral Associates,1,4,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-fringebenefits,Fringe Benefits Post Doctoral Associates,1,4,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-numberofpersonnel,Number of Personnel Post Doctoral Associates | NumberOfPersonnel,2,4,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-projectrole,Project Role Post Doctoral Associates,1,4,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-requestedsalary,Requested Salary Post Doctoral Associates,1,4,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-summermonths,Summer Months Post Doctoral Associates,1,4,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-academicmonths,Academic Months Secretarial/Clerical,1,4,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-calendarmonths,Calendar Months Secretarial/Clerical,1,4,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-fringebenefits,Fringe Benefits Secretarial/Clerical,1,4,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-numberofpersonnel,Number of Personnel Secretarial/Clerical | NumberOfPersonnel,2,4,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-projectrole,Project Role Secretarial/Clerical,1,4,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-requestedsalary,Requested Salary Secretarial/Clerical,1,4,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-summermonths,Summer Months Secretarial/Clerical,1,4,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-academicmonths,Academic Months Undergraduate Students,1,4,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-calendarmonths,Calendar Months Undergraduate Students,1,4,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-fringebenefits,Fringe Benefits Undergraduate Students,1,4,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-numberofpersonnel,Number of Personnel Undergraduate Students | NumberOfPersonnel,2,4,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-projectrole,Project Role Undergraduate Students,1,4,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-requestedsalary,Requested Salary Undergraduate Students,1,4,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-summermonths,Summer Months Undergraduate Students,1,4,0,0
question:budget:budgetyear-participanttraineesupportcosts-other-cost,Other Participant/Trainee Costs,1,4,0,0
question:budget:budgetyear-participanttraineesupportcosts-other-description,5. Other,1,4,0,0
question:budget:budgetyear-participanttraineesupportcosts-participanttraineenumber,Number of Participants/Trainees | ParticipantTraineeNumber,2,4,0,0
question:budget:budgetyear-participanttraineesupportcosts-stipends,2. Stipends,1,4,0,0
question:budget:budgetyear-participanttraineesupportcosts-subsistence,4. Subsistence,1,4,0,0
question:budget:budgetyear-participanttraineesupportcosts-travel,3. Travel,1,4,0,0
question:budget:budgetyear-participanttraineesupportcosts-tuitionfeehealthinsurance,1. Tuition/Fees/Health Insurance,1,4,0,0
question:budget:budgetyear-travel-domestictravelcost,"1. Domestic Travel Costs ( Incl. Canada, Mexico and U.S. Possessions)",1,4,0,0
question:budget:budgetyear-travel-foreigntravelcost,2. Foreign Travel Costs,1,4,0,0
question:budget:samuei,SAMUEI | UEI:,2,4,0,0
question:budget:total-project-funding,Total Estimated Funding,1,1,0,0
question:contact:email,Email,1,2,0,0
question:contact:fax,Fax number,1,2,0,0
question:contact:phone,Telephone number,1,2,0,0
question:key-contact:project-role,Project role,1,1,0,0
question:organization:applicant-type,Type of Applicant,1,1,0,0
question:organization:applicant-type-other,Type of Applicant Other Explanation,1,1,0,0
question:organization:department,Department Name,1,1,0,0
question:organization:division,Division Name,1,1,0,0
question:organization:ein,EIN/TIN,1,1,0,0
question:organization:legal-name,Organization legal name,1,6,0,0
question:organization:sam-uei,SAM UEI,1,1,0,0
question:person:name:first,First name,1,6,0,0
question:person:name:last,Last name,1,6,0,0
question:person:name:middle,Middle name,1,6,0,0
question:person:name:prefix,Prefix,2,6,0,0
question:person:name:suffix,Suffix,2,6,0,0
question:person:organizational-affiliation,Organizational affiliation,1,2,0,0
question:person:title,Title,1,2,0,0
question:project:congressional-district,Program District,1,1,0,0
question:project:congressional-district-applicant,Applicant District,1,1,0,0
question:project:end-date,Project End Date,1,1,0,0
question:project:start-date,Project Start Date,1,1,0,0
question:project:title,Project Title,1,1,0,0
question:role:authorized-organization-representative:email,AOR email,1,1,0,0
