semantic_identity,question_id,role,proposed_form_count,accepted_form_count,published_form_count
question:budget:budgetyear-otherdirectcosts-publicationcosts::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-publicationcosts,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-publicationcosts::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-publicationcosts,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-publicationcosts::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-publicationcosts,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-subawardconsortiumcontractualcosts::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-subawardconsortiumcontractualcosts,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-subawardconsortiumcontractualcosts::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-subawardconsortiumcontractualcosts,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-subawardconsortiumcontractualcosts::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-subawardconsortiumcontractualcosts,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-academicmonths::role:applicant_budget,question:budget:budgetyear-otherpersonnel-graduatestudents-academicmonths,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-academicmonths::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-graduatestudents-academicmonths,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-academicmonths::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-graduatestudents-academicmonths,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-calendarmonths::role:applicant_budget,question:budget:budgetyear-otherpersonnel-graduatestudents-calendarmonths,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-calendarmonths::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-graduatestudents-calendarmonths,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-calendarmonths::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-graduatestudents-calendarmonths,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-fringebenefits::role:applicant_budget,question:budget:budgetyear-otherpersonnel-graduatestudents-fringebenefits,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-fringebenefits::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-graduatestudents-fringebenefits,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-fringebenefits::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-graduatestudents-fringebenefits,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-numberofpersonnel::role:applicant_budget,question:budget:budgetyear-otherpersonnel-graduatestudents-numberofpersonnel,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-numberofpersonnel::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-graduatestudents-numberofpersonnel,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-numberofpersonnel::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-graduatestudents-numberofpersonnel,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-projectrole::role:applicant_budget,question:budget:budgetyear-otherpersonnel-graduatestudents-projectrole,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-projectrole::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-graduatestudents-projectrole,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-projectrole::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-graduatestudents-projectrole,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-requestedsalary::role:applicant_budget,question:budget:budgetyear-otherpersonnel-graduatestudents-requestedsalary,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-requestedsalary::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-graduatestudents-requestedsalary,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-requestedsalary::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-graduatestudents-requestedsalary,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-summermonths::role:applicant_budget,question:budget:budgetyear-otherpersonnel-graduatestudents-summermonths,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-summermonths::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-graduatestudents-summermonths,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-graduatestudents-summermonths::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-graduatestudents-summermonths,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-other-academicmonths::role:applicant_budget,question:budget:budgetyear-otherpersonnel-other-academicmonths,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-other-academicmonths::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-other-academicmonths,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-other-academicmonths::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-other-academicmonths,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-other-calendarmonths::role:applicant_budget,question:budget:budgetyear-otherpersonnel-other-calendarmonths,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-other-calendarmonths::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-other-calendarmonths,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-other-calendarmonths::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-other-calendarmonths,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-other-fringebenefits::role:applicant_budget,question:budget:budgetyear-otherpersonnel-other-fringebenefits,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-other-fringebenefits::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-other-fringebenefits,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-other-fringebenefits::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-other-fringebenefits,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-other-numberofpersonnel::role:applicant_budget,question:budget:budgetyear-otherpersonnel-other-numberofpersonnel,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-other-numberofpersonnel::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-other-numberofpersonnel,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-other-numberofpersonnel::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-other-numberofpersonnel,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-other-projectrole::role:applicant_budget,question:budget:budgetyear-otherpersonnel-other-projectrole,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-other-projectrole::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-other-projectrole,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-other-projectrole::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-other-projectrole,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-other-requestedsalary::role:applicant_budget,question:budget:budgetyear-otherpersonnel-other-requestedsalary,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-other-requestedsalary::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-other-requestedsalary,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-other-requestedsalary::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-other-requestedsalary,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-other-summermonths::role:applicant_budget,question:budget:budgetyear-otherpersonnel-other-summermonths,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-other-summermonths::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-other-summermonths,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-other-summermonths::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-other-summermonths,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-academicmonths::role:applicant_budget,question:budget:budgetyear-otherpersonnel-postdocassociates-academicmonths,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-academicmonths::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-postdocassociates-academicmonths,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-academicmonths::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-postdocassociates-academicmonths,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-calendarmonths::role:applicant_budget,question:budget:budgetyear-otherpersonnel-postdocassociates-calendarmonths,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-calendarmonths::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-postdocassociates-calendarmonths,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-calendarmonths::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-postdocassociates-calendarmonths,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-fringebenefits::role:applicant_budget,question:budget:budgetyear-otherpersonnel-postdocassociates-fringebenefits,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-fringebenefits::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-postdocassociates-fringebenefits,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-fringebenefits::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-postdocassociates-fringebenefits,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-numberofpersonnel::role:applicant_budget,question:budget:budgetyear-otherpersonnel-postdocassociates-numberofpersonnel,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-numberofpersonnel::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-postdocassociates-numberofpersonnel,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-numberofpersonnel::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-postdocassociates-numberofpersonnel,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-projectrole::role:applicant_budget,question:budget:budgetyear-otherpersonnel-postdocassociates-projectrole,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-projectrole::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-postdocassociates-projectrole,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-projectrole::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-postdocassociates-projectrole,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-requestedsalary::role:applicant_budget,question:budget:budgetyear-otherpersonnel-postdocassociates-requestedsalary,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-requestedsalary::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-postdocassociates-requestedsalary,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-requestedsalary::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-postdocassociates-requestedsalary,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-summermonths::role:applicant_budget,question:budget:budgetyear-otherpersonnel-postdocassociates-summermonths,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-summermonths::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-postdocassociates-summermonths,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-postdocassociates-summermonths::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-postdocassociates-summermonths,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-academicmonths::role:applicant_budget,question:budget:budgetyear-otherpersonnel-secretarialclerical-academicmonths,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-academicmonths::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-secretarialclerical-academicmonths,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-academicmonths::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-secretarialclerical-academicmonths,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-calendarmonths::role:applicant_budget,question:budget:budgetyear-otherpersonnel-secretarialclerical-calendarmonths,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-calendarmonths::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-secretarialclerical-calendarmonths,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-calendarmonths::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-secretarialclerical-calendarmonths,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-fringebenefits::role:applicant_budget,question:budget:budgetyear-otherpersonnel-secretarialclerical-fringebenefits,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-fringebenefits::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-secretarialclerical-fringebenefits,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-fringebenefits::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-secretarialclerical-fringebenefits,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-numberofpersonnel::role:applicant_budget,question:budget:budgetyear-otherpersonnel-secretarialclerical-numberofpersonnel,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-numberofpersonnel::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-secretarialclerical-numberofpersonnel,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-numberofpersonnel::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-secretarialclerical-numberofpersonnel,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-projectrole::role:applicant_budget,question:budget:budgetyear-otherpersonnel-secretarialclerical-projectrole,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-projectrole::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-secretarialclerical-projectrole,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-projectrole::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-secretarialclerical-projectrole,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-requestedsalary::role:applicant_budget,question:budget:budgetyear-otherpersonnel-secretarialclerical-requestedsalary,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-requestedsalary::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-secretarialclerical-requestedsalary,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-requestedsalary::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-secretarialclerical-requestedsalary,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-summermonths::role:applicant_budget,question:budget:budgetyear-otherpersonnel-secretarialclerical-summermonths,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-summermonths::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-secretarialclerical-summermonths,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-secretarialclerical-summermonths::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-secretarialclerical-summermonths,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-academicmonths::role:applicant_budget,question:budget:budgetyear-otherpersonnel-undergraduatestudents-academicmonths,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-academicmonths::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-undergraduatestudents-academicmonths,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-academicmonths::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-undergraduatestudents-academicmonths,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-calendarmonths::role:applicant_budget,question:budget:budgetyear-otherpersonnel-undergraduatestudents-calendarmonths,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-calendarmonths::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-undergraduatestudents-calendarmonths,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-calendarmonths::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-undergraduatestudents-calendarmonths,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-fringebenefits::role:applicant_budget,question:budget:budgetyear-otherpersonnel-undergraduatestudents-fringebenefits,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-fringebenefits::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-undergraduatestudents-fringebenefits,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-fringebenefits::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-undergraduatestudents-fringebenefits,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-numberofpersonnel::role:applicant_budget,question:budget:budgetyear-otherpersonnel-undergraduatestudents-numberofpersonnel,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-numberofpersonnel::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-undergraduatestudents-numberofpersonnel,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-numberofpersonnel::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-undergraduatestudents-numberofpersonnel,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-projectrole::role:applicant_budget,question:budget:budgetyear-otherpersonnel-undergraduatestudents-projectrole,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-projectrole::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-undergraduatestudents-projectrole,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-projectrole::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-undergraduatestudents-projectrole,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-requestedsalary::role:applicant_budget,question:budget:budgetyear-otherpersonnel-undergraduatestudents-requestedsalary,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-requestedsalary::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-undergraduatestudents-requestedsalary,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-requestedsalary::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-undergraduatestudents-requestedsalary,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-summermonths::role:applicant_budget,question:budget:budgetyear-otherpersonnel-undergraduatestudents-summermonths,applicant_budget,2,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-summermonths::role:multi_project_applicant_budget,question:budget:budgetyear-otherpersonnel-undergraduatestudents-summermonths,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherpersonnel-undergraduatestudents-summermonths::role:subaward_applicant_budget,question:budget:budgetyear-otherpersonnel-undergraduatestudents-summermonths,subaward_applicant_budget,1,0,0
question:budget:budgetyear-participanttraineesupportcosts-other-cost::role:applicant_budget,question:budget:budgetyear-participanttraineesupportcosts-other-cost,applicant_budget,2,0,0
question:budget:budgetyear-participanttraineesupportcosts-other-cost::role:multi_project_applicant_budget,question:budget:budgetyear-participanttraineesupportcosts-other-cost,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-participanttraineesupportcosts-other-cost::role:subaward_applicant_budget,question:budget:budgetyear-participanttraineesupportcosts-other-cost,subaward_applicant_budget,1,0,0
question:budget:budgetyear-participanttraineesupportcosts-other-description::role:applicant_budget,question:budget:budgetyear-participanttraineesupportcosts-other-description,applicant_budget,2,0,0
question:budget:budgetyear-participanttraineesupportcosts-other-description::role:multi_project_applicant_budget,question:budget:budgetyear-participanttraineesupportcosts-other-description,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-participanttraineesupportcosts-other-description::role:subaward_applicant_budget,question:budget:budgetyear-participanttraineesupportcosts-other-description,subaward_applicant_budget,1,0,0
question:budget:budgetyear-participanttraineesupportcosts-participanttraineenumber::role:applicant_budget,question:budget:budgetyear-participanttraineesupportcosts-participanttraineenumber,applicant_budget,2,0,0
question:budget:budgetyear-participanttraineesupportcosts-participanttraineenumber::role:multi_project_applicant_budget,question:budget:budgetyear-participanttraineesupportcosts-participanttraineenumber,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-participanttraineesupportcosts-participanttraineenumber::role:subaward_applicant_budget,question:budget:budgetyear-participanttraineesupportcosts-participanttraineenumber,subaward_applicant_budget,1,0,0
question:budget:budgetyear-participanttraineesupportcosts-stipends::role:applicant_budget,question:budget:budgetyear-participanttraineesupportcosts-stipends,applicant_budget,2,0,0
question:budget:budgetyear-participanttraineesupportcosts-stipends::role:multi_project_applicant_budget,question:budget:budgetyear-participanttraineesupportcosts-stipends,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-participanttraineesupportcosts-stipends::role:subaward_applicant_budget,question:budget:budgetyear-participanttraineesupportcosts-stipends,subaward_applicant_budget,1,0,0
question:budget:budgetyear-participanttraineesupportcosts-subsistence::role:applicant_budget,question:budget:budgetyear-participanttraineesupportcosts-subsistence,applicant_budget,2,0,0
question:budget:budgetyear-participanttraineesupportcosts-subsistence::role:multi_project_applicant_budget,question:budget:budgetyear-participanttraineesupportcosts-subsistence,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-participanttraineesupportcosts-subsistence::role:subaward_applicant_budget,question:budget:budgetyear-participanttraineesupportcosts-subsistence,subaward_applicant_budget,1,0,0
question:budget:budgetyear-participanttraineesupportcosts-travel::role:applicant_budget,question:budget:budgetyear-participanttraineesupportcosts-travel,applicant_budget,2,0,0
question:budget:budgetyear-participanttraineesupportcosts-travel::role:multi_project_applicant_budget,question:budget:budgetyear-participanttraineesupportcosts-travel,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-participanttraineesupportcosts-travel::role:subaward_applicant_budget,question:budget:budgetyear-participanttraineesupportcosts-travel,subaward_applicant_budget,1,0,0
question:budget:budgetyear-participanttraineesupportcosts-tuitionfeehealthinsurance::role:applicant_budget,question:budget:budgetyear-participanttraineesupportcosts-tuitionfeehealthinsurance,applicant_budget,2,0,0
question:budget:budgetyear-participanttraineesupportcosts-tuitionfeehealthinsurance::role:multi_project_applicant_budget,question:budget:budgetyear-participanttraineesupportcosts-tuitionfeehealthinsurance,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-participanttraineesupportcosts-tuitionfeehealthinsurance::role:subaward_applicant_budget,question:budget:budgetyear-participanttraineesupportcosts-tuitionfeehealthinsurance,subaward_applicant_budget,1,0,0
question:budget:budgetyear-travel-domestictravelcost::role:applicant_budget,question:budget:budgetyear-travel-domestictravelcost,applicant_budget,2,0,0
question:budget:budgetyear-travel-domestictravelcost::role:multi_project_applicant_budget,question:budget:budgetyear-travel-domestictravelcost,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-travel-domestictravelcost::role:subaward_applicant_budget,question:budget:budgetyear-travel-domestictravelcost,subaward_applicant_budget,1,0,0
question:budget:budgetyear-travel-foreigntravelcost::role:applicant_budget,question:budget:budgetyear-travel-foreigntravelcost,applicant_budget,2,0,0
question:budget:budgetyear-travel-foreigntravelcost::role:multi_project_applicant_budget,question:budget:budgetyear-travel-foreigntravelcost,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-travel-foreigntravelcost::role:subaward_applicant_budget,question:budget:budgetyear-travel-foreigntravelcost,subaward_applicant_budget,1,0,0
question:budget:samuei::role:applicant_organization,question:budget:samuei,applicant_organization,2,0,0
question:budget:samuei::role:multi_project_applicant_organization,question:budget:samuei,multi_project_applicant_organization,1,0,0
question:budget:samuei::role:subaward_applicant_organization,question:budget:samuei,subaward_applicant_organization,1,0,0
question:budget:total-project-funding::role:application_funding,question:budget:total-project-funding,application_funding,1,0,0
question:contact:email::role:applicant_contact,question:contact:email,applicant_contact,1,0,0
question:contact:email::role:key_contact,question:contact:email,key_contact,1,0,0
question:contact:fax::role:applicant_contact,question:contact:fax,applicant_contact,1,0,0
question:contact:fax::role:authorized_organization_representative,question:contact:fax,authorized_organization_representative,1,0,0
question:contact:fax::role:key_contact,question:contact:fax,key_contact,1,0,0
question:contact:phone::role:applicant_contact,question:contact:phone,applicant_contact,1,0,0
question:contact:phone::role:authorized_organization_representative,question:contact:phone,authorized_organization_representative,1,0,0
question:contact:phone::role:key_contact,question:contact:phone,key_contact,1,0,0
question:key-contact:project-role::role:key_contact,question:key-contact:project-role,key_contact,1,0,0
question:organization:applicant-type-other::role:applicant_organization,question:organization:applicant-type-other,applicant_organization,1,0,0
question:organization:applicant-type::role:applicant_organization,question:organization:applicant-type,applicant_organization,1,0,0
question:organization:department::role:applicant_organization,question:organization:department,applicant_organization,1,0,0
question:organization:division::role:applicant_organization,question:organization:division,applicant_organization,1,0,0
question:organization:ein::role:applicant_organization,question:organization:ein,applicant_organization,1,0,0
question:organization:legal-name::role:applicant_organization,question:organization:legal-name,applicant_organization,4,0,0
question:organization:legal-name::role:multi_project_applicant_organization,question:organization:legal-name,multi_project_applicant_organization,1,0,0
question:organization:legal-name::role:subaward_applicant_organization,question:organization:legal-name,subaward_applicant_organization,1,0,0
question:organization:sam-uei::role:applicant_organization,question:organization:sam-uei,applicant_organization,1,0,0
question:person:name:first::role:applicant_contact,question:person:name:first,applicant_contact,1,0,0
question:person:name:first::role:authorized_organization_representative,question:person:name:first,authorized_organization_representative,1,0,0
question:person:name:first::role:key_contact,question:person:name:first,key_contact,1,0,0
question:person:name:first::role:key_person,question:person:name:first,key_person,2,0,0
question:person:name:first::role:multi_project_key_person,question:person:name:first,multi_project_key_person,1,0,0
question:person:name:first::role:subaward_key_person,question:person:name:first,subaward_key_person,1,0,0
question:person:name:last::role:applicant_contact,question:person:name:last,applicant_contact,1,0,0
question:person:name:last::role:authorized_organization_representative,question:person:name:last,authorized_organization_representative,1,0,0
question:person:name:last::role:key_contact,question:person:name:last,key_contact,1,0,0
question:person:name:last::role:key_person,question:person:name:last,key_person,2,0,0
question:person:name:last::role:multi_project_key_person,question:person:name:last,multi_project_key_person,1,0,0
question:person:name:last::role:subaward_key_person,question:person:name:last,subaward_key_person,1,0,0
question:person:name:middle::role:applicant_contact,question:person:name:middle,applicant_contact,1,0,0
question:person:name:middle::role:authorized_organization_representative,question:person:name:middle,authorized_organization_representative,1,0,0
