semantic_identity,question_id,role,proposed_form_count,accepted_form_count,published_form_count
question:budget:budgetyear-equipment-equipmentlist-equipmentitem::role:multi_project_applicant_budget,question:budget:budgetyear-equipment-equipmentlist-equipmentitem,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-equipment-equipmentlist-equipmentitem::role:subaward_applicant_budget,question:budget:budgetyear-equipment-equipmentlist-equipmentitem,subaward_applicant_budget,1,0,0
question:budget:budgetyear-equipment-equipmentlist-fundsrequested::role:applicant_budget,question:budget:budgetyear-equipment-equipmentlist-fundsrequested,applicant_budget,2,0,0
question:budget:budgetyear-equipment-equipmentlist-fundsrequested::role:multi_project_applicant_budget,question:budget:budgetyear-equipment-equipmentlist-fundsrequested,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-equipment-equipmentlist-fundsrequested::role:subaward_applicant_budget,question:budget:budgetyear-equipment-equipmentlist-fundsrequested,subaward_applicant_budget,1,0,0
question:budget:budgetyear-equipment-totalfundforattachedequipment::role:applicant_budget,question:budget:budgetyear-equipment-totalfundforattachedequipment,applicant_budget,2,0,0
question:budget:budgetyear-equipment-totalfundforattachedequipment::role:multi_project_applicant_budget,question:budget:budgetyear-equipment-totalfundforattachedequipment,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-equipment-totalfundforattachedequipment::role:subaward_applicant_budget,question:budget:budgetyear-equipment-totalfundforattachedequipment,subaward_applicant_budget,1,0,0
question:budget:budgetyear-fee::role:applicant_budget,question:budget:budgetyear-fee,applicant_budget,2,0,0
question:budget:budgetyear-fee::role:multi_project_applicant_budget,question:budget:budgetyear-fee,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-fee::role:subaward_applicant_budget,question:budget:budgetyear-fee,subaward_applicant_budget,1,0,0
question:budget:budgetyear-indirectcosts-indirectcost-base::role:applicant_budget,question:budget:budgetyear-indirectcosts-indirectcost-base,applicant_budget,2,0,0
question:budget:budgetyear-indirectcosts-indirectcost-base::role:multi_project_applicant_budget,question:budget:budgetyear-indirectcosts-indirectcost-base,multi_project_applicant_budget,1,0,0
